Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Self-harm,Diarrheal Diseases,Neoplasms,Diabetes Mellitus,Chronic Kidney Disease,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,Drug Use Disorders,Alcohol Use Disorders,Exposure to Forces of Nature,Environmental Heat and Cold Exposure,Conflict and Terrorism,Poisonings,"Fire, Heat, and Hot Substances",Acute Hepatitis
36,1472,392,31,0,49,251,7,30,48,11024,966,333,534,171,10900,2569,1890,23,734,1538,657,1571,75,76,0,14,573,8,43,3
63,2096,370,104,0,50,85,4,51,50,21561,1730,143,968,109,16498,1205,652,39,589,4195,1109,3068,202,535,7,16,1,17,90,2
121,118,33,250,586,67,357,94,5576,1168,3029,1390,1021,216,1000,854,589,266,242,478,812,274,596,5,20,0,19,30,27,75,12
39,870,161,3,0,300,369,15,240,479,25785,1121,243,791,14,6164,300,209,2,625,1500,3665,4525,33,540,3,311,0,262,182,2
27,32,22,4,0,71,36,9,9,50,2272,223,168,170,25,981,290,299,3,1070,443,108,167,79,16,0,3,0,12,60,18
291,724,197,3158,15,421,5114,1068,656,605,8194,10905,5601,1168,4781,8032,2919,2000,3034,1298,1325,3538,5835,41,1463,27,21,30,133,186,4
0,9,3,0,0,0,1,0,2,0,83,8,1,7,0,125,5,6,0,9,20,8,13,0,1,0,0,0,0,0,1
267,299,66,455,29,180,407,139,27,371,3433,1613,2206,238,2182,1741,572,747,454,583,505,582,970,6,181,37,2,40,33,36,15
390,24610,5782,162,0,312,532,59,288,485,213148,38189,2006,5371,1784,166006,6399,5130,103,3842,42083,8782,28610,2052,1482,2,175,24,165,492,24
1,31,8,4,0,9,35,2,8,4,300,37,23,11,4,211,89,49,4,24,40,23,40,1,7,0,0,0,0,3,0
